Time,Diff Angle,Left Motor Speed,Right Motor Speed,,,,
14.26545429,-62,25,0,,,,
14.28568792,-61,25,0,,,,
14.3027935,-61,25,0,,,,
14.32169604,-60,25,0,,,,
14.34251714,-59,25,0,,,,
14.39346457,-58,25,0,,,,
14.4091804,-57,25.0005,0,,,,
14.42422795,-57,25.0005,0,,,,
14.44277811,-56,25.0005,0,,,,
14.45779896,-56,25.0005,0,,,,
14.50755787,-54,25.0005,0,,,,
14.52254486,-54,25.0005,0,,,,
14.53764462,-54,25.0005,0,,,,
14.55352855,-53,25.0055,0,,,,
14.57366395,-52,25.0055,0,,,,
14.5947144,-53,25.0055,0,,,,
14.61603761,-52,25.0055,0,,,,
14.63151526,-50,25.0725,1.54035,,,,
14.6476469,-50,25.0725,1.54035,,,,
14.68185687,-50,25.0725,1.54035,,,,
14.70251155,-49,25.0725,1.54035,,,,
14.71829987,-49,25.0725,1.54035,,,,
14.73582149,-48,25.0725,1.54035,,,,
14.7572763,-47,25.0725,1.54035,,,,
14.79050517,-46,25.6935,2.48895,,,,
14.80732656,-45,25.6935,2.48895,,,,
14.82281709,-45,25.6935,2.48895,,,,
14.83808351,-45,25.6935,2.48895,,,,
14.85861754,-44,25.6935,2.48895,,,,
14.90734887,-42,29.004,6.576,,,,
14.92229581,-43,29.004,6.576,,,,
14.93821359,-41,29.004,6.576,,,,
14.95967269,-42,29.004,6.576,,,,
14.97856975,-40,29.004,6.576,,,,
14.99511862,-41,29.004,6.576,,,,
15.01682115,-39,35.5435,12.6045,,,,
15.03969789,-38,35.5435,12.6045,,,,
15.05663371,-38,35.5435,12.6045,,,,
15.14700699,-35,39.733,15.351,,,,
15.16517591,-34,39.733,15.351,,,,
15.18584967,-34,39.733,15.351,,,,
15.20380783,-34,39.733,15.351,,,,
15.21957088,-34,39.733,15.351,,,,
15.29168463,-31,41.196,16.131,,,,
15.30775976,-31,41.196,16.131,,,,
15.32285929,-32,41.196,16.131,,,,
15.33819342,-31,41.196,16.131,,,,
15.35456705,-30,41.196,16.131,,,,
15.3719449,-31,41.196,16.131,,,,
15.3884356,-28,41.721,16.387,,,,
15.40465498,-28,41.721,16.387,,,,
15.42489004,-29,41.196,16.131,,,,
15.44754124,-27,41.721,16.387,,,,
15.46339226,-27,41.721,16.387,,,,
15.48506737,-27,41.721,16.387,,,,
15.50250101,-26,41.721,16.387,,,,
15.51899338,-26,41.721,16.387,,,,
15.54367185,-25,41.901,16.464,,,,
15.56541729,-24,41.901,16.464,,,,
15.58529186,-23,41.901,16.464,,,,
