Time,Diff Angle,Left Motor Speed,Right Motor Speed,,,,,
15.7821033,-23,41.901,16.464,,,,,
15.79705453,-23,41.901,16.464,,,,,
15.81230998,-23,41.901,16.464,,,,,
15.87161589,-21,41.955,16.485,,,,,
15.88659501,-21,41.955,16.485,,,,,
15.9015677,-21,41.955,16.485,,,,,
15.91681218,-21,41.955,16.485,,,,,
15.9365716,-19,41.955,16.485,,,,,
15.95580053,-20,41.955,16.485,,,,,
15.97890043,-19,41.955,16.485,,,,,
15.99442625,-17,41.9725,16.4915,,,,,
16.01053166,-17,41.9725,16.4915,,,,,
16.02634072,-17,41.9725,16.4915,,,,,
16.04224849,-17,41.9725,16.4915,,,,,
16.05782461,-18,41.955,16.485,,,,,
16.07876062,-16,41.9725,16.4915,,,,,
16.09642029,-16,41.9725,16.4915,,,,,
16.11325955,-14,41.9775,16.4935,,,,,
16.13590479,-14,41.9775,16.4935,,,,,
16.15413332,-14,41.9775,16.4935,,,,,
16.17244029,-14,41.9775,16.4935,,,,,
16.1936245,-13,41.9775,16.4935,,,,,
16.23810911,-10,40.214,23.582,,,,,
16.25367045,-12,41.9775,16.4935,,,,,
16.2763195,-10,40.214,23.582,,,,,
16.29252768,-11,41.9775,16.4935,,,,,
16.31557584,-10,40.214,23.582,,,,,
16.34626818,-9,40.214,23.582,,,,,
16.36149025,-9,40.214,23.582,,,,,
16.3773129,-8,40.214,23.582,,,,,
16.39858699,-9,40.214,23.582,,,,,
16.41552234,-8,40.214,23.582,,,,,
16.4581573,-6,41.4285,41.401,,,,,
16.47389102,-7,41.4285,41.401,,,,,
16.4916873,-6,41.4285,41.401,,,,,
16.5097723,-6,41.4285,41.401,,,,,
16.5251081,-6,41.4285,41.401,,,,,
16.57068276,-5,41.4285,41.401,,,,,
16.58891177,-5,41.4285,41.401,,,,,
16.60750437,-4,41.4285,41.401,,,,,
16.62537265,-4,41.4285,41.401,,,,,
16.68029094,-3,41.842,41.842,,,,,
16.6999166,-4,41.4285,41.401,,,,,
16.71615672,-3,41.842,41.842,,,,,
16.74268842,-4,41.4285,41.401,,,,,
16.7599957,-3,41.842,41.842,,,,,
16.78384066,-2,41.842,41.842,,,,,
16.80221963,-3,41.842,41.842,,,,,
16.82732439,0,41.842,41.842,,,,,
16.84782457,0,41.842,41.842,,,,,
16.86494637,-1,41.842,41.842,,,,,
16.89440298,0,41.842,41.842,,,,,
16.90944767,0,41.842,41.842,,,,,
16.92482209,0,41.842,41.842,,,,,
16.94017649,0,41.842,41.842,,,,,
16.96501279,0,41.842,41.842,,,,,
17.00165582,0,41.842,41.842,,,,,
17.02089787,1,41.401,41.4285,,,,,
17.03948903,1,41.401,41.4285,,,,,
17.05804777,0,41.842,41.842,,,,,
17.10574436,1,41.401,41.4285,,,,,
17.12143254,0,41.842,41.842,,,,,
17.14638543,2,41.401,41.4285,,,,,
17.16520929,2,41.401,41.4285,,,,,
17.18155384,4,23.582,40.214,,,,,
17.19718361,1,41.401,41.4285,,,,,
17.2162683,2,41.401,41.4285,,,,,
17.267102,2,41.401,41.4285,,,,,
17.28652453,2,41.401,41.4285,,,,,
17.30079055,2,41.401,41.4285,,,,,
17.32077527,2,41.401,41.4285,,,,,
17.33683729,2,41.401,41.4285,,,,,
17.35690999,3,41.401,41.4285,,,,,
17.37565017,3,41.401,41.4285,,,,,
17.39440489,3,41.401,41.4285,,,,,
17.41216993,2,41.401,41.4285,,,,,
17.42747569,3,41.401,41.4285,,,,,
17.56976938,3,41.401,41.4285,,,,,
17.58519936,2,41.401,41.4285,,,,,
17.60911942,3,41.401,41.4285,,,,,
17.62722683,4,23.582,40.214,,,,,
17.64222312,3,41.401,41.4285,,,,,
17.66998291,3,41.401,41.4285,,,,,
17.68524432,3,41.401,41.4285,,,,,
17.70083475,4,23.582,40.214,,,,,
17.71912146,4,23.582,40.214,,,,,
17.77582955,1,41.401,41.4285,,,,,
17.79340482,4,23.582,40.214,,,,,
17.80821609,4,23.582,40.214,,,,,
17.82811809,4,23.582,40.214,,,,,
17.84588313,4,23.582,40.214,,,,,
17.87925339,6,23.582,40.214,,,,,
17.89435768,4,23.582,40.214,,,,,
17.91401386,4,23.582,40.214,,,,,
17.93169546,4,23.582,40.214,,,,,
17.95118546,4,23.582,40.214,,,,,
18.05278659,3,41.401,41.4285,,,,,
18.06973147,6,23.582,40.214,,,,,
18.08458567,4,23.582,40.214,,,,,
18.10191393,6,23.582,40.214,,,,,
18.11707592,3,41.401,41.4285,,,,,
18.13651419,6,23.582,40.214,,,,,
18.1530602,6,23.582,40.214,,,,,
18.17000842,4,23.582,40.214,,,,,
18.1869278,4,23.582,40.214,,,,,
18.2026701,4,23.582,40.214,,,,,
18.21855998,3,41.401,41.4285,,,,,
18.23482895,4,23.582,40.214,,,,,
18.25212193,3,41.401,41.4285,,,,,
18.27467251,4,23.582,40.214,,,,,
18.38044238,4,23.582,40.214,,,,,
18.39661169,3,41.401,41.4285,,,,,
18.41179919,4,23.582,40.214,,,,,
18.42690778,3,41.401,41.4285,,,,,
18.44438314,3,41.401,41.4285,,,,,
18.49175549,3,41.401,41.4285,,,,,
18.51208639,4,23.582,40.214,,,,,
18.52754545,3,41.401,41.4285,,,,,
18.54782987,4,23.582,40.214,,,,,
18.56724715,2,41.401,41.4285,,,,,
18.65405512,2,41.401,41.4285,,,,,
18.66978812,3,41.401,41.4285,,,,,
18.68618751,6,23.582,40.214,,,,,
18.70169735,3,41.401,41.4285,,,,,
18.75034165,3,41.401,41.4285,,,,,
18.76564908,3,41.401,41.4285,,,,,
18.7834363,3,41.401,41.4285,,,,,
18.80389118,3,41.401,41.4285,,,,,
18.82082796,3,41.401,41.4285,,,,,
18.92024899,3,41.401,41.4285,,,,,
18.93621802,4,23.582,40.214,,,,,
18.95442891,2,41.401,41.4285,,,,,
18.9747622,2,41.401,41.4285,,,,,
19.00627637,3,41.401,41.4285,,,,,
19.02156949,3,41.401,41.4285,,,,,
19.03672481,3,41.401,41.4285,,,,,
19.05554533,3,41.401,41.4285,,,,,
19.07619643,2,41.401,41.4285,,,,,
19.09575224,3,41.401,41.4285,,,,,
19.12409234,4,23.582,40.214,,,,,
19.13894653,3,41.401,41.4285,,,,,
19.15413475,3,41.401,41.4285,,,,,
19.17338037,4,23.582,40.214,,,,,
19.22166514,3,41.401,41.4285,,,,,
19.23676729,3,41.401,41.4285,,,,,
19.25208926,3,41.401,41.4285,,,,,
19.271842,3,41.401,41.4285,,,,,
19.29524636,3,41.401,41.4285,,,,,
19.3519299,3,41.401,41.4285,,,,,
19.36694407,3,41.401,41.4285,,,,,
19.38293648,3,41.401,41.4285,,,,,
19.4033668,4,23.582,40.214,,,,,
19.42523026,4,23.582,40.214,,,,,
19.4556005,3,41.401,41.4285,,,,,
19.47213721,3,41.401,41.4285,,,,,
19.49191427,3,41.401,41.4285,,,,,
19.51028752,4,23.582,40.214,,,,,
19.52713561,3,41.401,41.4285,,,,,
19.55761909,4,23.582,40.214,,,,,
19.57321525,3,41.401,41.4285,,,,,
19.59222722,3,41.401,41.4285,,,,,
19.60762811,3,41.401,41.4285,,,,,
19.65081358,4,23.582,40.214,,,,,
19.66584134,3,41.401,41.4285,,,,,
19.68158865,2,41.401,41.4285,,,,,
19.69717646,4,23.582,40.214,,,,,
19.71742296,3,41.401,41.4285,,,,,
19.75597572,3,41.401,41.4285,,,,,
19.77177548,4,23.582,40.214,,,,,
19.79204488,3,41.401,41.4285,,,,,
19.81461263,4,23.582,40.214,,,,,
19.83099556,2,41.401,41.4285,,,,,
19.85948539,4,23.582,40.214,,,,,
19.87500262,2,41.401,41.4285,,,,,
19.8917048,4,23.582,40.214,,,,,
19.91065264,3,41.401,41.4285,,,,,
19.92964721,2,41.401,41.4285,,,,,
19.97715974,6,23.582,40.214,,,,,
19.99655795,4,23.582,40.214,,,,,
20.01242232,3,41.401,41.4285,,,,,
20.02753472,4,23.582,40.214,,,,,
20.10732603,6,23.582,40.214,,,,,
20.12217784,3,41.401,41.4285,,,,,
20.13784814,3,41.401,41.4285,,,,,
20.15288949,6,23.582,40.214,,,,,
20.17070174,3,41.401,41.4285,,,,,
20.20602369,3,41.401,41.4285,,,,,
20.22658396,3,41.401,41.4285,,,,,
20.24206376,4,23.582,40.214,,,,,
20.26324606,3,41.401,41.4285,,,,,
20.2795105,3,41.401,41.4285,,,,,
20.29699898,3,41.401,41.4285,,,,,
20.31310725,2,41.401,41.4285,,,,,
20.3287487,4,23.582,40.214,,,,,
20.34619308,1,41.401,41.4285,,,,,
20.37054873,4,23.582,40.214,,,,,
20.38750267,3,41.401,41.4285,,,,,
20.40417099,3,41.401,41.4285,,,,,
20.43087649,4,23.582,40.214,,,,,
20.44683981,3,41.401,41.4285,,,,,
20.4685297,3,41.401,41.4285,,,,,
20.48547411,2,41.401,41.4285,,,,,
20.50092387,2,41.401,41.4285,,,,,
20.59768629,4,23.582,40.214,,,,,
20.6172595,2,41.401,41.4285,,,,,
