Time,Diff Angle,Left Motor Speed,Right Motor Speed
12.19491124,-55,25.0005,0
12.2110002,-55,25.0005,0
12.23016214,-54,25.0005,0
12.25016308,-54,25.0005,0
12.27787423,-53,25.0055,0
12.29307938,-53,25.0055,0
12.30850172,-52,25.0055,0
12.32388663,-50,25.0725,1.54035
12.3401773,-52,25.0055,0
12.35871458,-51,25.0055,0
12.38031292,-49,25.0725,1.54035
12.39818811,-49,25.0725,1.54035
12.41569042,-49,25.0725,1.54035
12.4319346,-48,25.0725,1.54035
12.4498148,-48,25.0725,1.54035
12.46751571,-47,25.0725,1.54035
12.48661304,-47,25.0725,1.54035
12.50616789,-46,25.6935,2.48895
12.59562492,-43,29.004,6.576
12.61185694,-43,29.004,6.576
12.63378096,-42,29.004,6.576
12.65024996,-42,29.004,6.576
12.67127633,-41,29.004,6.576
12.75414348,-38,35.5435,12.6045
12.77222562,-36,35.5435,12.6045
12.78792667,-38,35.5435,12.6045
12.80893421,-36,35.5435,12.6045
12.83039665,-36,35.5435,12.6045
12.85948467,-36,35.5435,12.6045
12.87482238,-36,35.5435,12.6045
12.89011931,-35,39.733,15.351
12.90696836,-34,39.733,15.351
12.93274355,-34,39.733,15.351
12.96113396,-33,39.733,15.351
12.97631931,-33,39.733,15.351
12.99157977,-31,41.196,16.131
13.00717854,-31,41.196,16.131
13.0245049,-31,41.196,16.131
13.04528522,-31,41.196,16.131
13.06416988,-28,41.721,16.387
13.08398771,-30,41.196,16.131
13.09960723,-28,41.721,16.387
13.11598897,-27,41.721,16.387
13.13228846,-27,41.721,16.387
13.16017866,-26,41.721,16.387
13.17743683,-25,41.901,16.464
13.1946559,-26,41.721,16.387
13.21023941,-25,41.901,16.464
13.22552443,-25,41.901,16.464
13.25038862,-24,41.901,16.464
13.27314687,-24,41.901,16.464
13.2947731,-22,41.901,16.464
13.31082726,-22,41.901,16.464
13.32904077,-23,41.901,16.464
13.37982273,-20,41.955,16.485
13.39558673,-20,41.955,16.485
13.4112606,-19,41.955,16.485
13.43301964,-19,41.955,16.485
13.44893575,-18,41.955,16.485
13.56291771,-18,41.955,16.485
13.5781672,-16,41.9725,16.4915
13.59605908,-14,41.9775,16.4935
13.61946559,-15,41.9725,16.4915
13.63702631,-15,41.9725,16.4915
13.72373676,-12,41.9775,16.4935
13.74221015,-12,41.9775,16.4935
13.7573657,-11,41.9775,16.4935
13.77296948,-12,41.9775,16.4935
13.79580832,-11,41.9775,16.4935
13.81906152,-10,40.214,23.582
13.84129882,-10,40.214,23.582
13.85723114,-8,40.214,23.582
13.87264204,-8,40.214,23.582
13.88820386,-9,40.214,23.582
13.90400982,-8,40.214,23.582
13.92083311,-8,40.214,23.582
13.94699669,-7,41.4285,41.401
13.96805286,-8,40.214,23.582
13.98480177,-6,41.4285,41.401
13.99989414,-6,41.4285,41.401
14.01534033,-6,41.4285,41.401
14.03067255,-4,41.4285,41.401
14.04579735,-5,41.4285,41.401
14.06923485,-5,41.4285,41.401
14.09378719,-4,41.4285,41.401
14.1131134,-4,41.4285,41.401
14.13312984,-4,41.4285,41.401
14.2049365,-2,41.842,41.842
14.22109652,-2,41.842,41.842
14.23851562,-2,41.842,41.842
14.26378894,-2,41.842,41.842
14.28859329,-1,41.842,41.842
14.30865932,-1,41.842,41.842
14.32562304,-1,41.842,41.842
14.34078789,-1,41.842,41.842
14.35602212,-1,41.842,41.842
14.37609267,0,41.842,41.842
