Date,Time,Latitude,Longitude
17/4/24,06:36:42,2.946389,101.875297
17/4/24,06:36:43,2.946387,101.8753
17/4/24,06:36:44,2.946382,101.875303
17/4/24,06:36:45,2.94638,101.875308
17/4/24,06:36:46,2.946381,101.875314
17/4/24,06:36:47,2.946381,101.875319
17/4/24,06:36:48,2.946383,101.875325
17/4/24,06:36:49,2.946394,101.875313
17/4/24,06:36:50,2.946398,101.875306
17/4/24,06:36:51,2.946403,101.875304
17/4/24,06:36:52,2.946407,101.875303
17/4/24,06:36:53,2.94641,101.875303
17/4/24,06:36:54,2.946413,101.875302
17/4/24,06:36:55,2.946413,101.875288
17/4/24,06:36:56,2.946413,101.875281
17/4/24,06:36:57,2.946414,101.875276
17/4/24,06:36:58,2.946415,101.875273
17/4/24,06:36:59,2.946416,101.87527
17/4/24,06:37:00,2.946416,101.875269
17/4/24,06:37:01,2.946416,101.875268
17/4/24,06:37:02,2.946417,101.875268
17/4/24,06:37:03,2.946419,101.875267
17/4/24,06:37:04,2.94642,101.875267
17/4/24,06:37:05,2.946421,101.875267
17/4/24,06:37:06,2.946423,101.875267
17/4/24,06:37:07,2.946423,101.875268
17/4/24,06:37:08,2.946424,101.875269
17/4/24,06:37:09,2.946424,101.875269
17/4/24,06:37:10,2.946424,101.87527
17/4/24,06:37:11,2.946424,101.875271
17/4/24,06:37:12,2.946424,101.875272
17/4/24,06:37:13,2.946425,101.875273
17/4/24,06:37:14,2.946424,101.875274
17/4/24,06:37:15,2.946424,101.875275
17/4/24,06:37:16,2.946424,101.875275
17/4/24,06:37:17,2.946423,101.875276
17/4/24,06:37:18,2.946423,101.875277
17/4/24,06:37:19,2.946423,101.875278
17/4/24,06:37:20,2.946424,101.875279
17/4/24,06:37:21,2.946424,101.87528
17/4/24,06:37:22,2.946424,101.875281
17/4/24,06:37:23,2.946425,101.875282
17/4/24,06:37:24,2.946425,101.875282
17/4/24,06:37:25,2.946426,101.875283
17/4/24,06:37:26,2.946426,101.875283
17/4/24,06:37:27,2.946427,101.875283
17/4/24,06:37:28,2.946427,101.875284
17/4/24,06:37:29,2.946427,101.875285
17/4/24,06:37:30,2.946428,101.875286
17/4/24,06:37:31,2.946429,101.875286
17/4/24,06:37:32,2.946429,101.875287
17/4/24,06:37:33,2.946429,101.875287
17/4/24,06:37:34,2.94643,101.875287
17/4/24,06:37:35,2.94643,101.875288
17/4/24,06:37:36,2.94643,101.875288
17/4/24,06:37:37,2.94643,101.875289
17/4/24,06:37:38,2.94643,101.875289
17/4/24,06:37:39,2.94643,101.87529
17/4/24,06:37:40,2.946429,101.87529
17/4/24,06:37:41,2.946429,101.875291
17/4/24,06:37:42,2.946429,101.875291
17/4/24,06:37:43,2.946429,101.875292
17/4/24,06:37:44,2.946428,101.875292
17/4/24,06:37:45,2.946427,101.875292
17/4/24,06:37:46,2.946426,101.875293
17/4/24,06:37:47,2.946425,101.875293
17/4/24,06:37:48,2.946424,101.875293
17/4/24,06:37:49,2.946423,101.875293
17/4/24,06:37:50,2.946422,101.875293
17/4/24,06:37:51,2.946421,101.875293
17/4/24,06:37:52,2.946421,101.875292
17/4/24,06:37:53,2.946421,101.875292
17/4/24,06:37:54,2.94642,101.875292
17/4/24,06:37:55,2.946419,101.875292
17/4/24,06:37:56,2.946418,101.875291
17/4/24,06:37:57,2.946417,101.875291
17/4/24,06:37:58,2.946418,101.87529
17/4/24,06:37:59,2.946417,101.87529
17/4/24,06:38:00,2.946417,101.875289
17/4/24,06:38:01,2.946417,101.875289
17/4/24,06:38:02,2.946417,101.875288
17/4/24,06:38:03,2.946416,101.875287
17/4/24,06:38:04,2.946415,101.875286
17/4/24,06:38:05,2.946415,101.875285
17/4/24,06:38:06,2.946414,101.875284
17/4/24,06:38:07,2.946413,101.875283
17/4/24,06:38:08,2.946412,101.875282
17/4/24,06:38:09,2.946411,101.875281
17/4/24,06:38:10,2.94641,101.87528
17/4/24,06:38:11,2.946409,101.875279
17/4/24,06:38:12,2.946408,101.875278
17/4/24,06:38:13,2.946407,101.875278
17/4/24,06:38:14,2.946406,101.875277
17/4/24,06:38:15,2.946404,101.875277
17/4/24,06:38:16,2.946404,101.875276
17/4/24,06:38:17,2.946404,101.875275
17/4/24,06:38:18,2.946403,101.875275
17/4/24,06:38:19,2.946403,101.875274
17/4/24,06:38:20,2.946403,101.875273
17/4/24,06:38:21,2.946402,101.875273
17/4/24,06:38:22,2.946402,101.875273
