Date,Time,Latitude,Longitude,Bearing,Angle,Diff Angle,Left Motor Speed,Right Motor Speed
17/3/24,07:38:42,2.945304,101.873097,110.69357638074742,159,48.306423619252584,0.0,10.002200000000002
17/3/24,07:38:43,2.945296,101.873099,110.40906476591663,163,52.590935234083375,0.0,10.0002
17/3/24,07:38:44,2.945286,101.873102,110.05790169761515,164,53.94209830238485,0.0,10.0002
17/3/24,07:38:45,2.945279,101.873107,109.85176595770432,152,42.148234042295684,0.9955799999999999,10.2774
17/3/24,07:38:46,2.945271,101.873113,109.61761003457445,154,44.382389965425546,0.61614,10.029
17/3/24,07:38:47,2.945259,101.873116,109.17614475708812,155,45.823855242911876,0.61614,10.029
17/3/24,07:38:48,2.94525,101.873119,108.8525113450839,156,47.1474886549161,0.0,10.002200000000002
17/3/24,07:38:49,2.945241,101.873121,108.51236065846616,144,35.487639341533836,5.041799999999999,14.2174
17/3/24,07:38:50,2.945234,101.87312,108.21154554492051,149,40.78845445507949,0.9955799999999999,10.2774
17/3/24,07:38:51,2.945222,101.873125,107.78327722621366,156,48.216722773786344,0.0,10.002200000000002
17/3/24,07:38:52,2.945208,101.873132,107.29184557425593,146,38.70815442574407,2.6304,11.601600000000001
17/3/24,07:38:53,2.945197,101.873134,106.85517944456323,138,31.144820555436766,6.1404000000000005,15.8932
17/3/24,07:38:54,2.945187,101.873138,106.48256448889452,142,35.517435511105475,5.041799999999999,14.2174
17/3/24,07:38:55,2.945177,101.873142,106.10608824512367,139,32.89391175487633,5.041799999999999,14.2174
17/3/24,07:38:56,2.945168,101.873148,105.79311384224158,142,36.20688615775842,2.6304,11.601600000000001
17/3/24,07:38:57,2.945159,101.873152,105.45209190817435,134,28.547908091825647,6.452400000000001,16.4784
17/3/24,07:38:58,2.945149,101.873157,105.07576381394352,136,30.924236186056476,6.1404000000000005,15.8932
17/3/24,07:38:59,2.945138,101.873161,104.63941009087394,136,31.360589909126062,6.1404000000000005,15.8932
17/3/24,07:39:00,2.945128,101.873167,104.26531862007289,132,27.73468137992711,6.452400000000001,16.4784
17/3/24,07:39:01,2.94512,101.873171,103.95358235640529,113,9.046417643594708,6.5974,16.791
17/3/24,07:39:02,2.945109,101.873181,103.56903739962722,126,22.43096260037278,6.554799999999999,16.6884
17/3/24,07:39:03,2.945099,101.873188,103.1903656073918,128,24.809634392608203,6.554799999999999,16.6884
17/3/24,07:39:04,2.945088,101.873199,102.80177343167574,136,33.19822656832426,5.041799999999999,14.2174
17/3/24,07:39:05,2.945079,101.873207,102.46718720481819,149,46.53281279518181,0.61614,10.029
17/3/24,07:39:06,2.945069,101.873216,102.09011371544914,148,45.909886284550865,0.61614,10.029
17/3/24,07:39:07,2.945059,101.873227,101.7258163030272,139,37.2741836969728,2.6304,11.601600000000001
17/3/24,07:39:08,2.945049,101.873235,101.32453161685231,137,35.67546838314769,5.041799999999999,14.2174
17/3/24,07:39:09,2.945041,101.873242,101.00427188453202,134,32.99572811546798,5.041799999999999,14.2174
17/3/24,07:39:10,2.945033,101.87325,100.68857024106195,127,26.311429758938047,6.452400000000001,16.4784
17/3/24,07:39:11,2.945025,101.873257,100.35866240452731,126,25.64133759547269,6.452400000000001,16.4784
17/3/24,07:39:12,2.945016,101.873265,99.98281402466168,120,20.01718597533832,6.5856,16.7604
17/3/24,07:39:13,2.945008,101.873274,99.65958335124833,124,24.34041664875167,6.554799999999999,16.6884
17/3/24,07:39:14,2.945001,101.873287,99.41504682169256,133,33.584953178307444,5.041799999999999,14.2174
17/3/24,07:39:15,2.944993,101.873297,99.08766187785133,135,35.91233812214867,5.041799999999999,14.2174
17/3/24,07:39:16,2.944983,101.873306,98.64113770060943,142,43.358862299390566,0.61614,10.029
17/3/24,07:39:17,2.944975,101.873314,98.28383723756203,139,40.716162762437975,0.9955799999999999,10.2774
17/3/24,07:39:18,2.944967,101.873322,97.9204686980019,134,36.0795313019981,2.6304,11.601600000000001
17/3/24,07:39:19,2.944961,101.87333,97.658271501387,134,36.341728498612994,2.6304,11.601600000000001
17/3/24,07:39:20,2.944955,101.873339,97.39873966034433,133,35.60126033965567,5.041799999999999,14.2174
17/3/24,07:39:21,2.944947,101.873346,97.01141894835725,136,38.988581051642754,2.6304,11.601600000000001
17/3/24,07:39:22,2.944939,101.873354,96.62455321740283,130,33.375446782597166,5.041799999999999,14.2174
17/3/24,07:39:23,2.944931,101.873363,96.23706370253433,131,34.76293629746567,5.041799999999999,14.2174
17/3/24,07:39:24,2.944923,101.873365,95.8020519175746,131,35.1979480824254,5.041799999999999,14.2174
17/3/24,07:39:25,2.944915,101.873373,95.3964219465706,135,39.6035780534294,0.9955799999999999,10.2774
17/3/24,07:39:26,2.944908,101.87338,95.03571509672949,137,41.96428490327051,0.9955799999999999,10.2774
17/3/24,07:39:27,2.944901,101.87339,94.68360077682772,138,43.31639922317228,0.61614,10.029
17/3/24,07:39:28,2.944893,101.873399,94.26138845522532,133,38.738611544774685,2.6304,11.601600000000001
17/3/24,07:39:29,2.94489,101.87341,94.13305564316184,135,40.86694435683816,0.9955799999999999,10.2774
17/3/24,07:39:30,2.944885,101.873417,93.86657460935147,132,38.133425390648526,2.6304,11.601600000000001
17/3/24,07:39:31,2.944879,101.873425,93.53993337278288,134,40.46006662721712,0.9955799999999999,10.2774
17/3/24,07:39:32,2.944872,101.873434,93.15046082532136,129,35.84953917467864,5.041799999999999,14.2174
17/3/24,07:39:33,2.944866,101.87344,92.8053238346347,129,36.194676165365294,2.6304,11.601600000000001
17/3/24,07:39:34,2.944858,101.873448,92.33790859367086,130,37.66209140632914,2.6304,11.601600000000001
17/3/24,07:39:35,2.944851,101.873457,91.92618591114811,127,35.07381408885189,5.041799999999999,14.2174
17/3/24,07:39:36,2.944844,101.873466,91.5061501872207,134,42.4938498127793,0.9955799999999999,10.2774
17/3/24,07:39:37,2.944837,101.873476,91.07878532148547,134,42.92121467851453,0.9955799999999999,10.2774
17/3/24,07:39:38,2.944829,101.873485,90.57692401047457,129,38.42307598952543,2.6304,11.601600000000001
17/3/24,07:39:39,2.944822,101.873497,90.12996932211993,129,38.87003067788007,2.6304,11.601600000000001
17/3/24,07:39:40,2.944815,101.873506,89.67181356941424,126,36.32818643058576,2.6304,11.601600000000001
17/3/24,07:39:41,2.944808,101.873515,89.20416765343803,129,39.795832346561966,0.9955799999999999,10.2774
17/3/24,07:39:42,2.9448,101.873524,88.65980993968813,129,40.34019006031187,0.9955799999999999,10.2774
17/3/24,07:39:43,2.944792,101.873533,88.10413419135227,129,40.89586580864773,0.9955799999999999,10.2774
17/3/24,07:39:44,2.944785,101.873544,87.59950853271442,125,37.400491467285576,2.6304,11.601600000000001
17/3/24,07:39:45,2.944777,101.873552,87.02326266995193,131,43.97673733004807,0.61614,10.029
17/3/24,07:39:46,2.944771,101.87356,86.57580440519891,133,46.42419559480109,0.61614,10.029
17/3/24,07:39:47,2.944763,101.873569,85.97437991850964,132,46.02562008149036,0.61614,10.029
17/3/24,07:39:48,2.944757,101.873579,85.49694707455467,126,40.50305292544533,0.9955799999999999,10.2774
17/3/24,07:39:49,2.944749,101.873587,84.87704640335132,123,38.122953596648685,2.6304,11.601600000000001
17/3/24,07:39:50,2.944743,101.873595,84.3904856204703,123,38.6095143795297,2.6304,11.601600000000001
17/3/24,07:39:51,2.944738,101.873604,83.96003734752566,123,39.039962652474344,2.6304,11.601600000000001
17/3/24,07:39:52,2.94473,101.873614,83.29008299555869,126,42.70991700444131,0.9955799999999999,10.2774
17/3/24,07:39:53,2.944722,101.873622,82.62361687545057,128,45.376383124549434,0.61614,10.029
17/3/24,07:39:54,2.944716,101.87363,82.09504172505252,135,52.904958274947475,0.0,10.0002
17/3/24,07:39:55,2.944709,101.873639,81.46949793952999,130,48.53050206047001,0.0,10.002200000000002
17/3/24,07:39:56,2.944703,101.873648,80.90709365965344,136,55.09290634034656,0.0,10.0
17/3/24,07:39:57,2.944697,101.873657,80.33251627774628,131,50.66748372225372,0.0,10.0002
17/3/24,07:39:58,2.94469,101.873665,79.68183919313275,128,48.318160806867255,0.0,10.002200000000002
17/3/24,07:39:59,2.944683,101.873673,79.01920896379274,130,50.980791036207265,0.0,10.0002
17/3/24,07:40:00,2.944675,101.873681,78.26577109198745,121,42.734228908012554,0.9955799999999999,10.2774
17/3/24,07:40:01,2.944667,101.873689,77.49912586093359,125,47.50087413906641,0.0,10.002200000000002
17/3/24,07:40:02,2.94466,101.873696,76.81742280219848,120,43.18257719780152,0.9955799999999999,10.2774
17/3/24,07:40:03,2.944655,101.873705,76.24627625790431,116,39.75372374209569,0.9955799999999999,10.2774
17/3/24,07:40:04,2.94465,101.873713,75.68319230460352,120,44.31680769539648,0.61614,10.029
17/3/24,07:40:05,2.944642,101.873722,74.84375714361536,124,49.15624285638464,0.0,10.002200000000002
17/3/24,07:40:06,2.944634,101.873728,74.05785341609018,128,53.94214658390982,0.0,10.0002
17/3/24,07:40:07,2.944628,101.873734,73.42666433731665,113,39.57333566268335,2.6304,11.601600000000001
17/3/24,07:40:08,2.944622,101.873743,72.71162835001533,118,45.28837164998467,0.61614,10.029
17/3/24,07:40:09,2.944615,101.873752,71.89927369141817,121,49.10072630858183,0.0,10.002200000000002
17/3/24,07:40:10,2.944608,101.873761,71.07108703771769,118,46.92891296228231,0.0,10.002200000000002
17/3/24,07:40:11,2.944602,101.873769,70.34004191894729,119,48.65995808105271,0.0,10.002200000000002
17/3/24,07:40:12,2.944596,101.873777,69.59646994144936,123,53.40353005855064,0.0,10.0002
17/3/24,07:40:13,2.944591,101.873785,68.92420975898062,127,58.07579024101938,0.0,10.0
17/3/24,07:40:14,2.944589,101.873787,68.69126114234308,124,55.30873885765692,0.0,10.0
17/3/24,07:40:15,2.944587,101.873786,68.55638006048139,123,54.44361993951861,0.0,10.0
17/3/24,07:40:16,2.944587,101.873786,68.55638006048139,124,55.44361993951861,0.0,10.0
17/3/24,07:40:17,2.944586,101.873786,68.47275190430926,125,56.52724809569074,0.0,10.0
17/3/24,07:40:18,2.944586,101.873787,68.43977835038403,125,56.56022164961597,0.0,10.0
17/3/24,07:40:19,2.944586,101.873786,68.47275190430926,125,56.52724809569074,0.0,10.0
17/3/24,07:40:20,2.944586,101.873785,68.50562952447555,127,58.49437047552445,0.0,10.0
17/3/24,07:40:21,2.944586,101.873785,68.50562952447555,125,56.49437047552445,0.0,10.0
17/3/24,07:40:22,2.944584,101.873786,68.30578434116067,117,48.694215658839326,0.0,10.002200000000002
17/3/24,07:40:23,2.94458,101.873791,67.8041120130135,117,49.195887986986506,0.0,10.002200000000002
17/3/24,07:40:24,2.944575,101.873796,67.21394574824691,130,62.786054251753086,0.6420199999999999,10.0
