Date,Time,Latitude,Longitude
2/4/24,05:51:01,2.946214,101.875206
2/4/24,05:51:02,2.946214,101.875207
2/4/24,05:51:03,2.946215,101.875207
2/4/24,05:51:04,2.946217,101.875207
2/4/24,05:51:05,2.946217,101.875207
2/4/24,05:51:06,2.946218,101.875206
2/4/24,05:51:07,2.946218,101.875204
2/4/24,05:51:08,2.946218,101.875203
2/4/24,05:51:09,2.946218,101.875202
2/4/24,05:51:10,2.946218,101.875201
2/4/24,05:51:11,2.946218,101.875201
2/4/24,05:51:12,2.946218,101.875201
2/4/24,05:51:13,2.946218,101.8752
2/4/24,05:51:14,2.946218,101.875199
2/4/24,05:51:15,2.946218,101.875198
2/4/24,05:51:16,2.946218,101.875198
2/4/24,05:51:17,2.946218,101.875197
2/4/24,05:51:18,2.946218,101.875196
2/4/24,05:51:19,2.946219,101.875196
2/4/24,05:51:20,2.946219,101.875196
2/4/24,05:51:21,2.946219,101.875195
2/4/24,05:51:22,2.946219,101.875194
2/4/24,05:51:23,2.946219,101.875193
2/4/24,05:51:24,2.946219,101.875193
2/4/24,05:51:25,2.946219,101.875193
2/4/24,05:51:26,2.946219,101.875192
2/4/24,05:51:27,2.946218,101.875192
2/4/24,05:51:28,2.946218,101.875192
2/4/24,05:51:29,2.946218,101.875191
2/4/24,05:51:30,2.946218,101.875191
2/4/24,05:51:31,2.946218,101.87519
2/4/24,05:51:32,2.946217,101.87519
2/4/24,05:51:33,2.946217,101.87519
2/4/24,05:51:34,2.946217,101.87519
2/4/24,05:51:35,2.946217,101.875189
2/4/24,05:51:36,2.946216,101.875189
2/4/24,05:51:37,2.946216,101.875189
2/4/24,05:51:38,2.946215,101.875189
2/4/24,05:51:39,2.946214,101.875188
2/4/24,05:51:40,2.946214,101.875188
2/4/24,05:51:41,2.946213,101.875187
2/4/24,05:51:42,2.946213,101.875187
2/4/24,05:51:43,2.946213,101.875186
2/4/24,05:51:44,2.946213,101.875186
2/4/24,05:51:45,2.946213,101.875186
2/4/24,05:51:46,2.946213,101.875186
2/4/24,05:51:47,2.946212,101.875186
2/4/24,05:51:48,2.946212,101.875186
2/4/24,05:51:49,2.946212,101.875186
2/4/24,05:51:50,2.946212,101.875186
2/4/24,05:51:51,2.946212,101.875186
2/4/24,05:51:52,2.946211,101.875186
2/4/24,05:51:53,2.946211,101.875186
2/4/24,05:51:54,2.946211,101.875187
2/4/24,05:51:55,2.946211,101.875186
2/4/24,05:51:56,2.94621,101.875186
2/4/24,05:51:57,2.94621,101.875186
2/4/24,05:51:58,2.946209,101.875185
2/4/24,05:51:59,2.946208,101.875185
2/4/24,05:52:00,2.946208,101.875185
2/4/24,05:52:01,2.946207,101.875185
2/4/24,05:52:02,2.946206,101.875185
2/4/24,05:52:03,2.946206,101.875185
2/4/24,05:52:04,2.946206,101.875186
2/4/24,05:52:05,2.946205,101.875185
2/4/24,05:52:06,2.946204,101.875186
2/4/24,05:52:07,2.946204,101.875186
2/4/24,05:52:08,2.946204,101.875187
2/4/24,05:52:09,2.946204,101.875187
2/4/24,05:52:10,2.946203,101.875188
2/4/24,05:52:11,2.946203,101.875188
2/4/24,05:52:12,2.946203,101.875189
2/4/24,05:52:13,2.946202,101.875189
2/4/24,05:52:14,2.946202,101.875189
2/4/24,05:52:15,2.946202,101.87519
2/4/24,05:52:16,2.946202,101.87519
2/4/24,05:52:17,2.946202,101.87519
2/4/24,05:52:18,2.946203,101.875191
2/4/24,05:52:19,2.946204,101.875192
2/4/24,05:52:20,2.946204,101.875193
2/4/24,05:52:21,2.946205,101.875192
2/4/24,05:52:22,2.946205,101.875192
2/4/24,05:52:23,2.946206,101.875193
2/4/24,05:52:24,2.946207,101.875194
2/4/24,05:52:25,2.946207,101.875195
2/4/24,05:52:26,2.946208,101.875195
2/4/24,05:52:27,2.946209,101.875197
2/4/24,05:52:28,2.94621,101.875197
2/4/24,05:52:29,2.94621,101.875198
2/4/24,05:52:30,2.946211,101.875199
2/4/24,05:52:31,2.946212,101.8752
2/4/24,05:52:32,2.946213,101.875201
2/4/24,05:52:33,2.946214,101.875202
2/4/24,05:52:34,2.946214,101.875203
2/4/24,05:52:35,2.946215,101.875204
2/4/24,05:52:36,2.946215,101.875204
2/4/24,05:52:37,2.946215,101.875203
2/4/24,05:52:38,2.946214,101.875203
2/4/24,05:52:39,2.946214,101.875203
2/4/24,05:52:40,2.946214,101.875203
2/4/24,05:52:41,2.946214,101.875203
2/4/24,05:52:42,2.946213,101.875203
2/4/24,05:52:43,2.946213,101.875202
2/4/24,05:52:44,2.946212,101.875202
2/4/24,05:52:45,2.946213,101.875202
2/4/24,05:52:46,2.946212,101.875201
2/4/24,05:52:47,2.946212,101.875201
2/4/24,05:52:48,2.946212,101.875201
2/4/24,05:52:49,2.946212,101.875201
2/4/24,05:52:50,2.946212,101.875201
2/4/24,05:52:51,2.946212,101.875202
2/4/24,05:52:52,2.946213,101.875203
2/4/24,05:52:53,2.946213,101.875204
2/4/24,05:52:54,2.946213,101.875204
2/4/24,05:52:55,2.946214,101.875205
2/4/24,05:52:56,2.946214,101.875205
2/4/24,05:52:57,2.946215,101.875206
2/4/24,05:52:58,2.946216,101.875207
2/4/24,05:52:59,2.946216,101.875208
2/4/24,05:53:00,2.946217,101.875209
2/4/24,05:53:01,2.946218,101.87521
2/4/24,05:53:02,2.946219,101.875212
2/4/24,05:53:03,2.946219,101.875213
2/4/24,05:53:04,2.94622,101.875214
2/4/24,05:53:05,2.94622,101.875214
2/4/24,05:53:06,2.946221,101.875215
2/4/24,05:53:07,2.946221,101.875216
2/4/24,05:53:08,2.946222,101.875218
2/4/24,05:53:09,2.946223,101.875219
2/4/24,05:53:10,2.946224,101.87522
2/4/24,05:53:11,2.946225,101.875221
2/4/24,05:53:12,2.946225,101.875222
2/4/24,05:53:13,2.946225,101.875222
2/4/24,05:53:14,2.946226,101.875224
2/4/24,05:53:15,2.946226,101.875225
2/4/24,05:53:16,2.946227,101.875226
2/4/24,05:53:17,2.946228,101.875228
2/4/24,05:53:18,2.946229,101.875229
2/4/24,05:53:19,2.946229,101.87523
2/4/24,05:53:20,2.94623,101.875231
2/4/24,05:53:21,2.946231,101.875233
2/4/24,05:53:22,2.946231,101.875233
2/4/24,05:53:23,2.946232,101.875235
2/4/24,05:53:24,2.946232,101.875235
2/4/24,05:53:25,2.946232,101.875235
2/4/24,05:53:26,2.946232,101.875236
2/4/24,05:53:27,2.946233,101.875237
2/4/24,05:53:28,2.946233,101.875237
2/4/24,05:53:29,2.946233,101.875238
2/4/24,05:53:30,2.946233,101.875239
2/4/24,05:53:31,2.946233,101.87524
2/4/24,05:53:32,2.946234,101.875241
2/4/24,05:53:33,2.946234,101.875242
2/4/24,05:53:34,2.946234,101.875242
2/4/24,05:53:35,2.946234,101.875242
2/4/24,05:53:36,2.946233,101.875242
2/4/24,05:53:37,2.946233,101.875242
2/4/24,05:53:38,2.946233,101.875242
2/4/24,05:53:39,2.946233,101.875243
2/4/24,05:53:40,2.946233,101.875243
2/4/24,05:53:41,2.946233,101.875242
2/4/24,05:53:42,2.946233,101.875242
2/4/24,05:53:43,2.946233,101.875242
2/4/24,05:53:44,2.946232,101.875241
2/4/24,05:53:45,2.946232,101.875241
2/4/24,05:53:46,2.946232,101.875241
2/4/24,05:53:47,2.946232,101.875241
2/4/24,05:53:48,2.946232,101.87524
2/4/24,05:53:49,2.946232,101.87524
2/4/24,05:53:50,2.946232,101.875239
2/4/24,05:53:51,2.946232,101.875238
2/4/24,05:53:52,2.946231,101.875238
2/4/24,05:53:53,2.946231,101.875237
2/4/24,05:53:54,2.946231,101.875237
2/4/24,05:53:55,2.946231,101.875237
2/4/24,05:53:56,2.94623,101.875237
2/4/24,05:53:57,2.94623,101.875236
2/4/24,05:53:58,2.94623,101.875235
2/4/24,05:53:59,2.946229,101.875235
2/4/24,05:54:00,2.946229,101.875234
2/4/24,05:54:01,2.946228,101.875234
2/4/24,05:54:02,2.946227,101.875233
2/4/24,05:54:03,2.946226,101.875232
2/4/24,05:54:04,2.946226,101.875232
2/4/24,05:54:05,2.946225,101.875231
2/4/24,05:54:06,2.946225,101.875231
2/4/24,05:54:07,2.946224,101.875231
2/4/24,05:54:08,2.946224,101.875231
2/4/24,05:54:09,2.946223,101.87523
2/4/24,05:54:10,2.946223,101.87523
2/4/24,05:54:11,2.946223,101.87523
2/4/24,05:54:12,2.946223,101.87523
2/4/24,05:54:13,2.946223,101.87523
2/4/24,05:54:14,2.946223,101.87523
2/4/24,05:54:15,2.946223,101.87523
2/4/24,05:54:16,2.946223,101.875229
2/4/24,05:54:17,2.946222,101.875229
2/4/24,05:54:18,2.946222,101.875228
2/4/24,05:54:19,2.946221,101.875228
2/4/24,05:54:20,2.946221,101.875227
2/4/24,05:54:21,2.946221,101.875227
2/4/24,05:54:22,2.94622,101.875227
2/4/24,05:54:23,2.94622,101.875226
2/4/24,05:54:24,2.94622,101.875226
2/4/24,05:54:25,2.94622,101.875226
2/4/24,05:54:26,2.94622,101.875226
2/4/24,05:54:27,2.946221,101.875226
2/4/24,05:54:28,2.946221,101.875226
2/4/24,05:54:29,2.946221,101.875226
2/4/24,05:54:30,2.946221,101.875227
2/4/24,05:54:31,2.946222,101.875227
2/4/24,05:54:32,2.946222,101.875227
2/4/24,05:54:33,2.946222,101.875228
2/4/24,05:54:34,2.946222,101.875229
2/4/24,05:54:35,2.946222,101.875229
2/4/24,05:54:36,2.946222,101.87523
2/4/24,05:54:37,2.946222,101.875231
2/4/24,05:54:38,2.946222,101.875231
2/4/24,05:54:39,2.946222,101.875231
2/4/24,05:54:40,2.946222,101.875231
2/4/24,05:54:41,2.946222,101.875231
2/4/24,05:54:42,2.946222,101.875232
2/4/24,05:54:43,2.946222,101.875232
2/4/24,05:54:44,2.946221,101.875231
2/4/24,05:54:45,2.946221,101.875231
2/4/24,05:54:46,2.946221,101.875231
2/4/24,05:54:47,2.94622,101.87523
2/4/24,05:54:48,2.94622,101.875229
2/4/24,05:54:49,2.94622,101.875229
2/4/24,05:54:50,2.946219,101.875229
2/4/24,05:54:51,2.946219,101.875228
2/4/24,05:54:52,2.946219,101.875227
2/4/24,05:54:53,2.946219,101.875227
2/4/24,05:54:54,2.946219,101.875227
2/4/24,05:54:55,2.946219,101.875227
2/4/24,05:54:56,2.946219,101.875227
2/4/24,05:54:57,2.946219,101.875227
2/4/24,05:54:58,2.946219,101.875227
2/4/24,05:54:59,2.946219,101.875227
2/4/24,05:55:00,2.946218,101.875227
2/4/24,05:55:01,2.946218,101.875228
2/4/24,05:55:02,2.946219,101.875229
2/4/24,05:55:03,2.946219,101.87523
2/4/24,05:55:04,2.946219,101.87523
2/4/24,05:55:05,2.946219,101.875231
2/4/24,05:55:06,2.946219,101.87523
2/4/24,05:55:07,2.946219,101.875231
2/4/24,05:55:08,2.946219,101.875231
2/4/24,05:55:09,2.946219,101.875231
2/4/24,05:55:10,2.946219,101.875232
2/4/24,05:55:11,2.946218,101.875232
2/4/24,05:55:12,2.946217,101.875232
2/4/24,05:55:13,2.946217,101.875231
2/4/24,05:55:14,2.946217,101.875232
2/4/24,05:55:15,2.946216,101.875233
2/4/24,05:55:16,2.946215,101.875234
2/4/24,05:55:17,2.946214,101.875234
2/4/24,05:55:18,2.946214,101.875235
2/4/24,05:55:19,2.946213,101.875235
2/4/24,05:55:20,2.946213,101.875235
2/4/24,05:55:21,2.946212,101.875236
2/4/24,05:55:22,2.946212,101.875236
2/4/24,05:55:23,2.946211,101.875236
2/4/24,05:55:24,2.946211,101.875236
2/4/24,05:55:25,2.94621,101.875236
2/4/24,05:55:26,2.94621,101.875236
2/4/24,05:55:27,2.946209,101.875235
2/4/24,05:55:28,2.946209,101.875234
2/4/24,05:55:29,2.946209,101.875233
2/4/24,05:55:30,2.946209,101.875233
2/4/24,05:55:31,2.946209,101.875233
2/4/24,05:55:32,2.946209,101.875232
