Date,Time,Latitude,Longitude
2/4/24,05:36:05,2.946311,101.875278
2/4/24,05:36:06,2.946311,101.875278
2/4/24,05:36:07,2.946311,101.875278
2/4/24,05:36:08,2.94631,101.875277
2/4/24,05:36:09,2.946309,101.875277
2/4/24,05:36:10,2.946309,101.875276
2/4/24,05:36:11,2.946308,101.875275
2/4/24,05:36:12,2.946308,101.875275
2/4/24,05:36:13,2.946307,101.875274
2/4/24,05:36:14,2.946307,101.875273
2/4/24,05:36:15,2.946307,101.875273
2/4/24,05:36:16,2.946307,101.875272
2/4/24,05:36:17,2.946307,101.875271
2/4/24,05:36:18,2.946308,101.875271
2/4/24,05:36:19,2.946308,101.875271
2/4/24,05:36:20,2.946308,101.87527
2/4/24,05:36:21,2.946308,101.87527
2/4/24,05:36:22,2.946309,101.87527
2/4/24,05:36:23,2.946309,101.875269
2/4/24,05:36:24,2.94631,101.875269
2/4/24,05:36:25,2.94631,101.875268
2/4/24,05:36:26,2.94631,101.875268
2/4/24,05:36:27,2.94631,101.875268
2/4/24,05:36:28,2.94631,101.875268
2/4/24,05:36:29,2.946309,101.875267
2/4/24,05:36:30,2.946309,101.875267
2/4/24,05:36:31,2.946309,101.875267
2/4/24,05:36:32,2.946309,101.875268
2/4/24,05:36:33,2.946309,101.875268
2/4/24,05:36:34,2.946309,101.875268
2/4/24,05:36:35,2.946309,101.875269
2/4/24,05:36:36,2.946309,101.875269
2/4/24,05:36:37,2.946309,101.875269
2/4/24,05:36:38,2.946309,101.875269
2/4/24,05:36:39,2.94631,101.875268
2/4/24,05:36:40,2.94631,101.875268
2/4/24,05:36:41,2.94631,101.875268
2/4/24,05:36:42,2.94631,101.875268
2/4/24,05:36:43,2.94631,101.875268
2/4/24,05:36:44,2.946309,101.875268
2/4/24,05:36:45,2.946309,101.875268
2/4/24,05:36:46,2.946309,101.875267
2/4/24,05:36:47,2.946308,101.875267
2/4/24,05:36:48,2.946309,101.875267
2/4/24,05:36:49,2.946309,101.875266
2/4/24,05:36:50,2.946309,101.875266
2/4/24,05:36:51,2.94631,101.875265
2/4/24,05:36:52,2.946311,101.875265
2/4/24,05:36:53,2.946312,101.875265
2/4/24,05:36:54,2.946312,101.875265
2/4/24,05:36:55,2.946313,101.875264
2/4/24,05:36:56,2.946314,101.875264
2/4/24,05:36:57,2.946315,101.875264
2/4/24,05:36:58,2.946317,101.875264
2/4/24,05:36:59,2.946318,101.875263
2/4/24,05:37:00,2.946319,101.875263
2/4/24,05:37:01,2.946321,101.875263
2/4/24,05:37:02,2.946322,101.875263
2/4/24,05:37:03,2.946323,101.875263
2/4/24,05:37:04,2.946324,101.875263
2/4/24,05:37:05,2.946324,101.875263
2/4/24,05:37:06,2.946325,101.875263
2/4/24,05:37:07,2.946325,101.875263
2/4/24,05:37:08,2.946325,101.875263
2/4/24,05:37:09,2.946325,101.875264
2/4/24,05:37:10,2.946325,101.875264
2/4/24,05:37:11,2.946325,101.875265
2/4/24,05:37:12,2.946324,101.875265
2/4/24,05:37:13,2.946325,101.875265
2/4/24,05:37:14,2.946325,101.875266
2/4/24,05:37:15,2.946325,101.875266
2/4/24,05:37:16,2.946325,101.875266
2/4/24,05:37:17,2.946325,101.875266
2/4/24,05:37:18,2.946324,101.875267
2/4/24,05:37:19,2.946323,101.875267
2/4/24,05:37:20,2.946322,101.875268
2/4/24,05:37:21,2.946321,101.875268
2/4/24,05:37:22,2.94632,101.875268
2/4/24,05:37:23,2.946319,101.875268
2/4/24,05:37:24,2.946318,101.875268
2/4/24,05:37:25,2.946317,101.875268
2/4/24,05:37:26,2.946315,101.875268
2/4/24,05:37:27,2.946315,101.875268
2/4/24,05:37:28,2.946315,101.875268
2/4/24,05:37:29,2.946314,101.875268
