Time,Diff Angle,Left Motor Speed,Right Motor Speed
0.0012660026550292969,0,41.842,41.842
0.022980451583862305,-1,41.842,41.842
0.03952336311340332,-1,41.842,41.842
0.05963563919067383,0,41.842,41.842
0.08187103271484375,-1,41.842,41.842
0.09773874282836914,0,41.842,41.842
0.11599898338317871,0,41.842,41.842
0.1319870948791504,-1,41.842,41.842
0.15201807022094727,0,41.842,41.842
0.16788458824157715,-2,41.842,41.842
0.18977141380310059,0,41.842,41.842
0.20777225494384766,0,41.842,41.842
0.22431492805480957,-1,41.842,41.842
0.24399542808532715,0,41.842,41.842
0.25980663299560547,-1,41.842,41.842
0.28458666801452637,0,41.842,41.842
0.30031299591064453,0,41.842,41.842
0.3178083896636963,1,41.400999999999996,41.4285
0.33661818504333496,0,41.842,41.842
0.3521099090576172,0,41.842,41.842
0.36879634857177734,1,41.400999999999996,41.4285
0.38495397567749023,1,41.400999999999996,41.4285
0.4088773727416992,0,41.842,41.842
0.4274778366088867,1,41.400999999999996,41.4285
0.45198726654052734,1,41.400999999999996,41.4285
0.46892285346984863,2,41.400999999999996,41.4285
0.4917171001434326,1,41.400999999999996,41.4285
0.5100061893463135,2,41.400999999999996,41.4285
0.5278182029724121,2,41.400999999999996,41.4285
0.543731689453125,2,41.400999999999996,41.4285
0.5594782829284668,2,41.400999999999996,41.4285
0.5770673751831055,2,41.400999999999996,41.4285
0.5930154323577881,2,41.400999999999996,41.4285
0.6133999824523926,4,23.582,40.214
0.6304798126220703,3,41.400999999999996,41.4285
0.6464459896087646,4,23.582,40.214
0.6625583171844482,3,41.400999999999996,41.4285
0.6807680130004883,3,41.400999999999996,41.4285
0.6960763931274414,3,41.400999999999996,41.4285
0.712221622467041,3,41.400999999999996,41.4285
0.729241132736206,3,41.400999999999996,41.4285
0.7459473609924316,2,41.400999999999996,41.4285
0.7610976696014404,3,41.400999999999996,41.4285
0.7784597873687744,1,41.400999999999996,41.4285
0.7964332103729248,2,41.400999999999996,41.4285
0.818535327911377,1,41.400999999999996,41.4285
0.8403952121734619,0,41.842,41.842
0.8565466403961182,0,41.842,41.842
0.8777163028717041,-2,41.842,41.842
0.897669792175293,-1,41.842,41.842
0.9136698246002197,-2,41.842,41.842
0.9300751686096191,-3,41.842,41.842
0.9505236148834229,-5,41.4285,41.400999999999996
0.9710483551025391,-6,41.4285,41.400999999999996
0.9876892566680908,-7,41.4285,41.400999999999996
1.00553560256958,-10,40.214,23.582
1.023529052734375,-11,41.9775,16.4935
1.0385522842407227,-12,41.9775,16.4935
1.0536973476409912,-13,41.9775,16.4935
1.0708348751068115,-14,41.9775,16.4935
1.0882079601287842,-17,41.972500000000004,16.491500000000002
1.1053004264831543,-19,41.955,16.485
1.1259090900421143,-19,41.955,16.485
1.141714096069336,-20,41.955,16.485
1.1599483489990234,-21,41.955,16.485
1.181441068649292,-23,41.900999999999996,16.464000000000002
1.1970016956329346,-24,41.900999999999996,16.464000000000002
1.2124407291412354,-24,41.900999999999996,16.464000000000002
1.2277374267578125,-26,41.721000000000004,16.387
1.2486872673034668,-28,41.721000000000004,16.387
1.2695577144622803,-27,41.721000000000004,16.387
1.2852232456207275,-28,41.721000000000004,16.387
1.3014488220214844,-30,41.196,16.131
1.3185343742370605,-31,41.196,16.131
1.3380420207977295,-32,41.196,16.131
1.3536436557769775,-34,39.733000000000004,15.351
1.372373342514038,-34,39.733000000000004,15.351
1.3936312198638916,-34,39.733000000000004,15.351
1.4093525409698486,-35,39.733000000000004,15.351
1.42582368850708,-35,39.733000000000004,15.351
1.4421637058258057,-37,35.5435,12.6045
1.4617609977722168,-36,35.5435,12.6045
1.4796142578125,-38,35.5435,12.6045
1.4970576763153076,-38,35.5435,12.6045
1.5132932662963867,-39,35.5435,12.6045
1.5288434028625488,-39,35.5435,12.6045
1.5495688915252686,-40,29.004,6.576
1.5689377784729004,-41,29.004,6.576
1.585047960281372,-42,29.004,6.576
1.602170705795288,-42,29.004,6.576
1.6228840351104736,-42,29.004,6.576
1.6383535861968994,-42,29.004,6.576
1.6560020446777344,-44,25.693500000000004,2.48895
1.6732258796691895,-43,29.004,6.576
1.6888551712036133,-43,29.004,6.576
1.7050848007202148,-44,25.693500000000004,2.48895
1.7269291877746582,-45,25.693500000000004,2.48895
1.7432708740234375,-46,25.693500000000004,2.48895
1.7595570087432861,-45,25.693500000000004,2.48895
1.780170202255249,-48,25.072499999999998,1.54035
1.7959027290344238,-47,25.072499999999998,1.54035
1.8164737224578857,-49,25.072499999999998,1.54035
1.833888053894043,-49,25.072499999999998,1.54035
1.852217197418213,-51,25.0055,0.0
1.8697030544281006,-51,25.0055,0.0
1.8859806060791016,-51,25.0055,0.0
1.904792070388794,-53,25.0055,0.0
1.925494909286499,-54,25.0005,0.0
1.9418158531188965,-55,25.0005,0.0
1.9571495056152344,-55,25.0005,0.0
1.9725563526153564,-56,25.0005,0.0
1.9886531829833984,-57,25.0005,0.0
2.00447940826416,-58,25.0,0.0
2.0215983390808105,-59,25.0,0.0
2.0441555976867676,-60,25.0,0.0
2.061819553375244,-62,25.0,0.0
2.0778000354766846,-62,25.0,0.0
2.0939931869506836,-63,25.0,0.0
2.1106369495391846,-65,25.0,1.6050499999999999
2.134739637374878,-67,25.0,1.6050499999999999
2.155360698699951,-68,25.0,1.6050499999999999
2.174258232116699,-69,25.0,1.7785
2.189662456512451,-71,25.0,1.7785
2.2070438861846924,-72,25.0,1.9487
2.2270772457122803,-73,25.0,1.9487
2.244692802429199,-75,25.0,1.9487
