Date,Time,Latitude,Longitude,Initial Latitude,Initial Longitude,Bearing,Angle,Diff Angle,Left Motor Speed,Right Motor Speed
,,2.944381,101.874678,2.944382,101.874677,315.03784382875574,161,-154.03784382875574,0,0
,,2.944381,101.874678,2.944382,101.874677,315.03784382875574,161,-154.03784382875574,0,0
,,2.944381,101.874678,2.944382,101.874677,315.03784382875574,160,-155.03784382875574,0,0
,,2.944381,101.874678,2.944382,101.874677,315.03784382875574,160,-155.03784382875574,0,0
,,2.944381,101.874678,2.944382,101.874677,315.03784382875574,160,-155.03784382875574,0,0
,,2.944381,101.874678,2.944382,101.874677,315.03784382875574,161,-154.03784382875574,0,0
,,2.944381,101.874678,2.944382,101.874677,315.03784382875574,160,-155.03784382875574,0,0
,,2.944381,101.874678,2.944382,101.874677,315.03784382875574,160,-155.03784382875574,0,0
,,2.944381,101.874678,2.944382,101.874677,315.03784382875574,161,-154.03784382875574,0,0
,,2.944381,101.874678,2.944382,101.874677,315.03784382875574,160,-155.03784382875574,0,0
,,2.944381,101.874678,2.944382,101.874677,315.03784382875574,160,-155.03784382875574,0,0
,,2.944381,101.874678,2.944382,101.874677,315.03784382875574,161,-154.03784382875574,0,0
,,2.944382,101.874678,2.944382,101.874677,269.99999997719084,161,-108.99999997719084,0,0
,,2.944382,101.874678,2.944382,101.874677,269.99999997719084,160,-109.99999997719084,0,0
,,2.944382,101.874678,2.944382,101.874677,269.99999997719084,161,-108.99999997719084,0,0
,,2.944382,101.874678,2.944382,101.874677,269.99999997719084,160,-109.99999997719084,0,0
,,2.944382,101.874678,2.944382,101.874677,269.99999997719084,160,-109.99999997719084,0,0
,,2.944382,101.874678,2.944382,101.874677,269.99999997719084,160,-109.99999997719084,0,0
,,2.944382,101.874678,2.944382,101.874677,269.99999997719084,161,-108.99999997719084,0,0
,,2.944382,101.874678,2.944382,101.874677,269.99999997719084,161,-108.99999997719084,0,0
,,2.944382,101.874678,2.944382,101.874677,269.99999997719084,160,-109.99999997719084,0,0
,,2.944382,101.874678,2.944382,101.874677,269.99999997719084,160,-109.99999997719084,0,0
,,2.944382,101.874678,2.944382,101.874677,269.99999997719084,160,-109.99999997719084,0,0
,,2.944382,101.874678,2.944382,101.874677,269.99999997719084,160,-109.99999997719084,0,0
,,2.944382,101.874678,2.944382,101.874677,269.99999997719084,160,-109.99999997719084,0,0
,,2.944382,101.874678,2.944382,101.874677,269.99999997719084,160,-109.99999997719084,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,161,-108.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,161,-108.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,161,-108.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,161,-108.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,161,-108.99999995438168,0,0
,,2.944382,101.874679,2.944382,101.874677,269.9999999543817,160,-109.99999995438168,0,0
