Date,Time,Latitude,Longitude,Initial Latitude,Initial Longitude,Bearing,Angle,Diff Angle,Left Motor Speed,Right Motor Speed
,,2.944605,101.874452,2.944605,101.874452,180.0,340,160.0,0,0
,,2.944605,101.874452,2.944605,101.874452,180.0,340,160.0,0,0
,,2.944605,101.874452,2.944605,101.874452,180.0,340,160.0,0,0
,,2.944605,101.874452,2.944605,101.874452,180.0,340,160.0,0,0
,,2.944605,101.874452,2.944605,101.874452,180.0,340,160.0,0,0
,,2.944605,101.874452,2.944605,101.874452,180.0,340,160.0,0,0
,,2.944605,101.874452,2.944605,101.874452,180.0,340,160.0,0,0
,,2.944605,101.874452,2.944605,101.874452,180.0,340,160.0,0,0
,,2.944605,101.874452,2.944605,101.874452,180.0,340,160.0,0,0
,,2.944605,101.874452,2.944605,101.874452,180.0,341,161.0,0,0
,,2.944605,101.874452,2.944605,101.874452,180.0,340,160.0,0,0
,,2.944605,101.874452,2.944605,101.874452,180.0,340,160.0,0,0
,,2.944605,101.874452,2.944605,101.874452,180.0,340,160.0,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,341,-109.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,341,-109.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,341,-109.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
,,2.944605,101.874451,2.944605,101.874452,90.00000002280916,340,-110.00000002280916,0,0
